site,hzn,rep,bulk_agg,sixteenS_conc_adj,sixteenS_copies_per_g,nirk_copies_per_ul,nirk_copies_per_ul_min,nirk_copies_per_ul_max,mass_extract_dry_g,nirk_copies_per_g,nirk_copies_per_g_min,nirk_copies_per_g_max,nirs_copies_per_ul,nirs_copies_per_ul_min,nirs_copies_per_ul_max,nirs_copies_per_g,nirs_copies_per_g_min,nirs_copies_per_g_max,mcra_copies_per_ul,mcra_copies_per_ul_min,mcra_copies_per_ul_max,mcra_copies_per_g,mcra_copies_per_g_min,mcra_copies_per_g_max
R,A,1,B,2577500,1088986926.0506082,944.6282196044921,886.952285766602,1002.58842468262,0.23668787368712785,399102.9218730377,374734.99252396997,423590.95506849594,12.4168901443481,10.5237646102905,14.3130674362183,5246.1032121830185,4446.262686106859,6047.233097855452,3.630342960357665,2.646670758724215,4.837611079216005,1533.8102893925738,1118.2113884815185,2043.8778733593804
R,A,1,IN,346250,152385112.8132166,1591.056640625,1556.72473144531,1626.42053222656,0.22722035873964272,700226.2690941748,685116.7474957916,715789.9676103281,4.71655893325806,3.62674617767334,6.00646352767944,2075.764231435997,1596.1361023239103,2643.4530607188517,1.61430656909943,0.975942313671112,2.484619140625,710.4585953713596,429.51358719989605,1093.4843842368748
R,A,2,B,291250,118546945.69214141,1590.30456542969,1510.19668579102,1670.9614562988302,0.24568325931935608,647298.7088479245,614692.5476220428,680128.3330936272,11.844596862793,10.0494966506958,13.6424388885498,4821.084226742765,4090.42792680993,5552.856521988914,3.30958795547485,2.36296606063843,4.48132133483887,1347.0954287417765,961.79367987254,1824.0238863868778
R,A,2,IN,231250,87153016.0270472,1013.03424072266,989.306457519531,1037.25036621094,0.2653379200649046,381790.22450875497,372847.74723399343,390916.7472019141,12.4760847091675,10.6987171173096,14.256142616272,4701.960694542157,4032.1101162972013,5372.825193166807,2.79822039604187,1.92247438430786,3.90725326538086,1054.587446587881,724.5381224958729,1472.5574333382513
R,A,3,B,1033750,433286576.56664246,969.9680328369141,910.776672363281,1029.45861816406,0.23858343551545547,406552.9657334821,381743.46445953526,431487.88428665727,39.0839042663574,35.6965255737305,42.4810638427734,16381.65037816531,14961.862501731839,17805.5378199219,2.02817010879517,1.30547595024109,2.97882080078125,850.0883996465818,547.1779494752565,1248.5446838945707
R,A,3,IN,366250,159906498.0527336,256.757751464844,246.765472412109,266.835632324219,0.22904009809483722,112101.65975327598,107738.98302730046,116501.71063659429,0.564931869506836,0.269375890493393,1.02360498905182,246.65195055623764,117.61079947750206,446.9108237230942,1.0649356842041,0.5630705058574674,1.80453389883041,464.9560024913841,245.839270302932,787.8681129813426
R,B,1,B,713750,320340085.52523285,1026.65490722656,1003.14630126953,1050.64282226563,0.22281007974063824,460775.79094340623,450224.82934220973,471541.87256188283,1.41627109050751,0.902032017707825,2.09675192832947,635.6404935342774,404.8434517674578,941.048955581449,0.882423222064972,0,1.51745522022247,396.0427746770503,0,681.0532189517016
R,B,1,IN,60250,27040966.939257834,200.809509277344,192.241577148438,209.440277099609,0.22281007974063824,90125.86392460162,86280.46692152193,93999.46238671413,0.84429919719696,0.473818480968475,1.37084543704987,378.93222702481205,212.65576562784895,615.2528820265227,0,0,0.764123737812042,0,0,342.94846027680575
R,B,2,B,258750,115134527.8884319,440.158996582031,426.871612548828,453.59814453125,0.22473710080327503,195855.06576741277,189942.65344843647,201835.0076199968,2.31918501853943,1.63983452320099,3.16482710838318,1031.954675151542,729.6679174643394,1408.2352655930763,1.78801429271698,1.12562119960785,2.67050647735596,795.6026336221757,500.86131554805866,1188.2802028729577
R,B,2,IN,225000,96112301.54164751,213.16438293457,204.02214050293,222.37825012207,0.23410114667007814,91056.53089131827,87151.277729733265,94992.37969793912,3.30866575241089,2.50753617286682,4.2650990486145,1413.3488022054999,1071.13365676962,1821.9043816241367,1.60558152198792,1.01080214977264,2.39794039726257,685.849490626668,431.78009341286014,1024.3180912915473
